Date W/ Weekends,Open,High,Low,Close,Adj Close,Volume
1/2/2008,146.529999,146.990005,143.880005,144.929993,110.811035,204935600
1/3/2008,144.910004,145.490005,144.070007,144.860001,110.757507,125133300
1/4/2008,143.339996,143.440002,140.910004,141.309998,108.043213,232330900
1/5/2008,143.339996,143.440002,140.910004,141.309998,108.043213,232330900
1/6/2008,143.339996,143.440002,140.910004,141.309998,108.043213,232330900
1/7/2008,141.809998,142.229996,140.100006,141.190002,107.951515,234991000
1/8/2008,142.080002,142.899994,138.440002,138.910004,106.208267,326365700
1/9/2008,139.089996,140.789993,137.699997,140.369995,107.324532,301824900
1/10/2008,139.679993,142.800003,139.369995,141.289993,108.027931,335701200
1/11/2008,140.779999,141.899994,139,140.149994,107.156311,267076600
1/12/2008,140.779999,141.899994,139,140.149994,107.156311,267076600
1/13/2008,140.779999,141.899994,139,140.149994,107.156311,267076600
1/14/2008,141.160004,141.860001,140.399994,141.279999,108.020279,170365500
1/15/2008,139.789993,141.490005,137.899994,138.169998,105.642448,239940100
1/16/2008,137.360001,139.119995,136.279999,136.979996,104.732613,378802600
1/17/2008,137.809998,137.880005,132.929993,133.429993,102.018288,397892600
1/18/2008,134.740005,135.020004,131.100006,132.059998,100.97084,348561500
1/19/2008,134.740005,135.020004,131.100006,132.059998,100.97084,348561500
1/20/2008,134.740005,135.020004,131.100006,132.059998,100.97084,348561500
1/21/2008,134.740005,135.020004,131.100006,132.059998,100.97084,348561500
1/22/2008,127.209999,132.429993,126,130.720001,99.946327,435923700
1/23/2008,127.089996,134.190002,126.839996,133.860001,102.347092,511913000
1/24/2008,134.479996,135.460007,133.309998,134.990005,103.21109,259949300
1/25/2008,136.509995,136.759995,132.600006,133.039993,101.720131,269603900
1/26/2008,136.509995,136.759995,132.600006,133.039993,101.720131,269603900
1/27/2008,136.509995,136.759995,132.600006,133.039993,101.720131,269603900
1/28/2008,133.259995,135.520004,132.059998,135.240005,103.40226,217934600
1/29/2008,136.100006,136.449997,134.880005,135.910004,103.914467,168968300
1/30/2008,135.580002,138.539993,134.600006,134.910004,103.149925,334939200
1/31/2008,133.399994,138.539993,133.199997,137.369995,105.030777,343680800
2/1/2008,137.940002,139.610001,137.520004,139.580002,106.720512,206843600
2/2/2008,137.940002,139.610001,137.520004,139.580002,106.720512,206843600
2/3/2008,137.940002,139.610001,137.520004,139.580002,106.720512,206843600
2/4/2008,139.210007,139.300003,137.639999,137.820007,105.374855,124694300
2/5/2008,135.940002,136.25,133.669998,134.130005,102.553551,286882500
2/6/2008,134.580002,135.25,132.410004,133.050003,101.727776,250792900
2/7/2008,131.800003,134.789993,131.729996,133.929993,102.400597,297368100
2/8/2008,133.089996,134.220001,132.100006,133.070007,101.743088,221643500
2/9/2008,133.089996,134.220001,132.100006,133.070007,101.743088,221643500
2/10/2008,133.089996,134.220001,132.100006,133.070007,101.743088,221643500
2/11/2008,133.100006,134.229996,132.039993,133.75,102.262985,188576300
2/12/2008,134.910004,136.309998,133.979996,134.990005,103.21109,256654400
2/13/2008,136.009995,137.059998,135.139999,136.369995,104.266205,181967800
2/14/2008,136.949997,137,134.789993,135.169998,103.348701,215207200
2/15/2008,134.5,135.220001,133.910004,135.139999,103.325737,154110300
2/16/2008,134.5,135.220001,133.910004,135.139999,103.325737,154110300
2/17/2008,134.5,135.220001,133.910004,135.139999,103.325737,154110300
2/18/2008,134.5,135.220001,133.910004,135.139999,103.325737,154110300
2/19/2008,136.720001,136.889999,134.610001,135.520004,103.616302,145190000
2/20/2008,133.990005,136.550003,133.759995,135.919998,103.922119,220085700
2/21/2008,136.660004,137.009995,134.070007,134.789993,103.058151,201051200
2/22/2008,134.970001,135.850006,132.860001,135.619995,103.692757,205491000
2/23/2008,134.970001,135.850006,132.860001,135.619995,103.692757,205491000
2/24/2008,134.970001,135.850006,132.860001,135.619995,103.692757,205491000
2/25/2008,135.539993,137.649994,134.779999,137.330002,105.000221,190107000
2/26/2008,136.75,138.949997,136.5,138.360001,105.78775,212420700
2/27/2008,137.559998,139.139999,137.410004,138.220001,105.680679,168395800
2/28/2008,137.240005,137.960007,136.550003,136.869995,104.648514,170831100
2/29/2008,135.600006,135.679993,132.779999,133.820007,102.316513,252715200
3/1/2008,135.600006,135.679993,132.779999,133.820007,102.316513,252715200
